,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,1h_ocean,inland,island,near_bay,near_ocean
116,-122.25,37.83,28.0,5022.0,1750.0,2558.0,1661.0,24234.0,218500.0,False,False,False,True,False
118,-122.23,37.84,50.0,2515.0,399.0,970.0,373.0,58596.0,327600.0,False,False,False,True,False
119,-122.23,37.84,47.0,3175.0,454.0,1098.0,485.0,52868.00000000001,347600.0,False,False,False,True,False
120,-122.24,37.83,41.0,2576.0,406.0,794.0,376.0,59560.00000000001,366100.0,False,False,False,True,False
121,-122.24,37.85,37.0,334.0,54.0,98.0,47.0,49643.0,335000.0,False,False,False,True,False
125,-122.22,37.85,28.0,5287.0,1048.0,2031.0,956.0,54570.0,337300.0,False,False,False,True,False
126,-122.22,37.84,50.0,2935.0,473.0,1031.0,479.0,75000.0,295200.0,False,False,False,True,False
127,-122.21,37.84,44.0,3424.0,597.0,1358.0,597.0,60194.0,292300.0,False,False,False,True,False
128,-122.21,37.83,40.0,4991.0,674.0,1616.0,654.0,75544.0,411500.0,False,False,False,True,False
129,-122.2,37.84,30.0,2211.0,346.0,844.0,343.0,60666.0,311500.0,False,False,False,True,False
130,-122.21,37.84,34.0,3038.0,490.0,1140.0,496.0,70548.0,325900.0,False,False,False,True,False
131,-122.19,37.84,18.0,1617.0,210.0,533.0,194.0,116016.99999999999,392600.0,False,False,False,True,False
132,-122.2,37.84,35.0,2865.0,460.0,1072.0,443.0,74882.0,319300.0,False,False,False,True,False
133,-122.21,37.83,34.0,5065.0,788.0,1627.0,766.0,68976.0,333300.0,False,False,False,True,False
134,-122.19,37.83,28.0,1326.0,184.0,463.0,190.0,82049.0,335200.0,False,False,False,True,False
135,-122.2,37.83,26.0,1589.0,223.0,542.0,211.0,84010.0,351200.0,False,False,False,True,False
136,-122.19,37.83,29.0,1791.0,271.0,661.0,269.0,68538.0,368900.0,False,False,False,True,False
137,-122.19,37.82,32.0,1835.0,264.0,635.0,263.0,83170.0,365900.0,False,False,False,True,False
138,-122.2,37.82,37.0,1229.0,181.0,420.0,176.0,70175.0,366700.0,False,False,False,True,False
139,-122.2,37.82,39.0,3770.0,534.0,1265.0,500.0,63301.99999999999,362800.0,False,False,False,True,False
140,-122.18,37.81,30.0,292.0,38.0,126.0,52.0,63624.0,483300.0,False,False,False,True,False
142,-122.2,37.81,45.0,2964.0,436.0,1067.0,426.0,67851.0,323500.0,False,False,False,True,False
143,-122.21,37.8,50.0,2833.0,605.0,1260.0,552.0,28929.0,216700.0,False,False,False,True,False
144,-122.21,37.8,38.0,2254.0,535.0,951.0,487.0,30812.0,233100.0,False,False,False,True,False
163,-122.25,37.81,46.0,3232.0,835.0,1373.0,747.0,32250.0,218800.0,False,False,False,True,False
164,-122.25,37.8,42.0,4120.0,1065.0,1715.0,1015.0,29345.0,225000.0,False,False,False,True,False
165,-122.25,37.8,43.0,2364.0,792.0,1359.0,722.0,21429.0,250000.0,False,False,False,True,False
166,-122.25,37.8,41.0,1471.0,469.0,1062.0,413.0,16121.0,171400.0,False,False,False,True,False
167,-122.25,37.8,29.0,2468.0,864.0,1335.0,773.0,13929.0,193800.0,False,False,False,True,False
168,-122.24,37.79,27.0,1632.0,492.0,1171.0,429.0,23173.0,125000.0,False,False,False,True,False
169,-122.25,37.79,45.0,1786.0,526.0,1475.0,460.0,17772.0,97500.0,False,False,False,True,False
170,-122.25,37.79,50.0,629.0,188.0,742.0,196.0,26458.0,125000.0,False,False,False,True,False
172,-122.25,37.8,36.0,1678.0,606.0,1645.0,543.0,22303.0,116700.0,False,False,False,True,False
173,-122.25,37.8,43.0,2344.0,647.0,1710.0,644.0,16504.0,151800.0,False,False,False,True,False
177,-122.24,37.8,47.0,2046.0,588.0,1213.0,554.0,26292.0,182700.0,False,False,False,True,False
180,-122.24,37.8,49.0,2838.0,749.0,1487.0,677.0,25238.0,169300.0,False,False,False,True,False
182,-122.23,37.8,51.0,1590.0,414.0,949.0,392.0,19028.0,127900.0,False,False,False,True,False
183,-122.23,37.8,50.0,1746.0,480.0,1149.0,415.0,22500.0,123500.0,False,False,False,True,False
185,-122.23,37.79,43.0,5963.0,1344.0,4367.0,1231.0,21917.0,112800.0,False,False,False,True,False
187,-122.23,37.79,30.0,999.0,264.0,1011.0,263.0,18854.0,137500.0,False,False,False,True,False
188,-122.24,37.79,39.0,1469.0,431.0,1464.0,389.0,21638.0,105500.0,False,False,False,True,False
189,-122.24,37.79,47.0,1372.0,395.0,1237.0,303.0,21250.0,95500.0,False,False,False,True,False
191,-122.24,37.79,43.0,1626.0,376.0,1284.0,357.0,22542.0,112200.0,False,False,False,True,False
192,-122.25,37.79,51.0,175.0,43.0,228.0,55.0,21000.0,75000.0,False,False,False,True,False
193,-122.25,37.79,39.0,461.0,129.0,381.0,123.0,16000.0,112500.0,False,False,False,True,False
195,-122.26,37.8,20.0,2373.0,779.0,1659.0,676.0,16929.0,115000.0,False,False,False,True,False
201,-122.22,37.78,50.0,1920.0,530.0,1525.0,477.0,14886.0,128800.0,False,False,False,True,False
202,-122.23,37.78,43.0,1420.0,472.0,1506.0,438.0,19338.0,112500.0,False,False,False,True,False
204,-122.23,37.78,44.0,2340.0,825.0,2813.0,751.0,16009.0,118100.0,False,False,False,True,False
205,-122.23,37.79,48.0,1696.0,396.0,1481.0,343.0,20375.0,122500.0,False,False,False,True,False
206,-122.23,37.79,49.0,1175.0,217.0,859.0,219.0,22930.0,106300.0,False,False,False,True,False
207,-122.22,37.79,37.0,2343.0,574.0,1608.0,523.0,21494.0,132500.0,False,False,False,True,False
208,-122.23,37.79,30.0,610.0,145.0,425.0,140.0,16197.999999999998,122700.0,False,False,False,True,False
209,-122.23,37.79,40.0,930.0,199.0,564.0,184.0,13281.0,113300.0,False,False,False,True,False
210,-122.22,37.79,44.0,1487.0,314.0,961.0,272.0,35156.0,109500.0,False,False,False,True,False
213,-122.22,37.79,46.0,2366.0,575.0,1647.0,527.0,26042.0,124700.0,False,False,False,True,False
214,-122.22,37.79,49.0,1826.0,450.0,1201.0,424.0,25000.0,136700.0,False,False,False,True,False
215,-122.22,37.79,38.0,3049.0,711.0,2167.0,659.0,27969.0,141700.0,False,False,False,True,False
216,-122.2,37.79,29.0,1640.0,376.0,939.0,340.0,28321.0,150000.0,False,False,False,True,False
217,-122.21,37.79,47.0,1543.0,307.0,859.0,292.0,29583.0,138800.0,False,False,False,True,False
218,-122.21,37.79,34.0,2364.0,557.0,1517.0,516.0,28365.0,139200.0,False,False,False,True,False
219,-122.21,37.79,35.0,1745.0,409.0,1143.0,386.0,28750.0,143800.0,False,False,False,True,False
220,-122.21,37.8,39.0,2003.0,500.0,1109.0,464.0,30682.0,156500.0,False,False,False,True,False
221,-122.21,37.8,39.0,2018.0,447.0,1221.0,446.0,30757.0,151000.0,False,False,False,True,False
222,-122.2,37.8,43.0,3045.0,499.0,1115.0,455.0,49559.0,273000.0,False,False,False,True,False
225,-122.2,37.8,41.0,2070.0,354.0,804.0,340.0,51184.0,239600.0,False,False,False,True,False
226,-122.21,37.8,48.0,1321.0,263.0,506.0,252.0,40977.0,229700.0,False,False,False,True,False
227,-122.19,37.8,48.0,1694.0,259.0,610.0,238.0,47440.0,257300.0,False,False,False,True,False
228,-122.19,37.8,46.0,1938.0,341.0,768.0,332.0,42727.00000000001,246900.0,False,False,False,True,False
229,-122.19,37.79,50.0,968.0,195.0,462.0,184.0,29844.0,179900.0,False,False,False,True,False
230,-122.2,37.79,40.0,1060.0,256.0,667.0,235.0,41739.0,169600.0,False,False,False,True,False
231,-122.2,37.8,46.0,2041.0,405.0,1059.0,399.0,38487.0,203300.0,False,False,False,True,False
233,-122.19,37.79,45.0,2718.0,451.0,1106.0,454.0,46563.0,231800.0,False,False,False,True,False
234,-122.19,37.79,28.0,3144.0,761.0,1737.0,669.0,29297.0,140500.0,False,False,False,True,False
235,-122.2,37.79,35.0,1802.0,459.0,1009.0,390.0,23036.0,126000.0,False,False,False,True,False
236,-122.2,37.79,49.0,882.0,195.0,737.0,210.0,26667.0,122000.0,False,False,False,True,False
237,-122.2,37.79,44.0,1621.0,452.0,1354.0,491.0,26190.000000000004,134700.0,False,False,False,True,False
238,-122.21,37.79,45.0,2115.0,533.0,1530.0,474.0,24167.0,139400.0,False,False,False,True,False
239,-122.2,37.79,45.0,2021.0,528.0,1410.0,480.0,27788.0,115400.0,False,False,False,True,False
240,-122.21,37.78,46.0,2239.0,508.0,1390.0,569.0,27352.0,137300.0,False,False,False,True,False
243,-122.21,37.78,49.0,898.0,244.0,779.0,245.0,30536.0,137500.0,False,False,False,True,False
244,-122.22,37.78,44.0,2968.0,710.0,2269.0,610.0,23906.0,111700.0,False,False,False,True,False
245,-122.21,37.78,43.0,1702.0,460.0,1227.0,407.0,17188.0,126800.0,False,False,False,True,False
246,-122.21,37.78,47.0,881.0,248.0,753.0,241.0,26250.0,111300.0,False,False,False,True,False
247,-122.22,37.77,40.0,494.0,114.0,547.0,135.0,28015.0,114800.0,False,False,False,True,False
248,-122.22,37.78,50.0,1776.0,473.0,1807.0,440.0,17276.0,102300.0,False,False,False,True,False
249,-122.22,37.78,44.0,1678.0,514.0,1700.0,495.0,20801.0,131900.0,False,False,False,True,False
250,-122.22,37.78,51.0,1637.0,463.0,1543.0,393.0,24890.0,119100.0,False,False,False,True,False
254,-122.2,37.77,49.0,2272.0,498.0,1621.0,483.0,24338.000000000004,102400.0,False,False,False,True,False
255,-122.21,37.77,46.0,1234.0,375.0,1183.0,354.0,23309.000000000004,98700.0,False,False,False,True,False
256,-122.21,37.77,43.0,1017.0,328.0,836.0,277.0,22604.000000000004,100000.0,False,False,False,True,False
257,-122.19,37.77,42.0,932.0,254.0,900.0,263.0,18039.0,92300.0,False,False,False,True,False
258,-122.2,37.77,39.0,2689.0,597.0,1888.0,537.0,22562.000000000004,94800.0,False,False,False,True,False
259,-122.2,37.77,41.0,1547.0,415.0,1024.0,341.0,20562.0,102000.0,False,False,False,True,False
261,-122.2,37.78,39.0,1752.0,399.0,1071.0,376.0,31166.999999999996,121600.0,False,False,False,True,False
262,-122.2,37.78,50.0,1867.0,403.0,1128.0,378.0,25400.999999999996,129100.0,False,False,False,True,False
263,-122.2,37.77,43.0,2430.0,502.0,1537.0,484.0,28980.0,121400.0,False,False,False,True,False
264,-122.21,37.78,44.0,1729.0,414.0,1240.0,393.0,23125.0,102800.0,False,False,False,True,False
270,-122.18,37.78,33.0,142.0,31.0,575.0,47.0,38750.0,225000.0,False,False,False,True,False
271,-122.19,37.78,49.0,1183.0,205.0,496.0,209.0,52328.0,174200.0,False,False,False,True,False
273,-122.2,37.78,45.0,1766.0,332.0,869.0,327.0,45893.0,163500.0,False,False,False,True,False
274,-122.18,37.79,39.0,617.0,95.0,236.0,106.0,52577.99999999999,253000.0,False,False,False,True,False
275,-122.18,37.79,41.0,1411.0,233.0,626.0,214.0,70875.0,240700.0,False,False,False,True,False
276,-122.18,37.79,46.0,2109.0,387.0,922.0,329.0,39712.0,208100.0,False,False,False,True,False
277,-122.19,37.79,47.0,1229.0,243.0,582.0,256.0,29514.0,198100.0,False,False,False,True,False
278,-122.19,37.79,50.0,954.0,217.0,546.0,201.0,26667.0,172800.0,False,False,False,True,False
279,-122.18,37.81,37.0,1643.0,262.0,620.0,266.0,54446.0,336700.0,False,False,False,True,False
280,-122.18,37.8,34.0,1355.0,195.0,442.0,195.0,62838.0,318200.0,False,False,False,True,False
281,-122.18,37.8,23.0,2317.0,336.0,955.0,328.0,67527.0,285800.0,False,False,False,True,False
282,-122.13,37.77,24.0,2459.0,317.0,916.0,324.0,70712.0,293000.0,False,False,False,True,False
283,-122.16,37.79,22.0,12842.0,2048.0,4985.0,1967.0,59849.0,371000.0,False,False,False,True,False
284,-122.17,37.78,42.0,1524.0,260.0,651.0,267.0,36875.0,157300.0,False,False,False,True,False
285,-122.17,37.77,30.0,3326.0,746.0,1704.0,703.0,28750.0,135300.0,False,False,False,True,False
286,-122.18,37.78,43.0,1985.0,440.0,1085.0,407.0,34205.0,136700.0,False,False,False,True,False
287,-122.18,37.78,50.0,1642.0,322.0,713.0,284.0,32984.0,160700.0,False,False,False,True,False
288,-122.17,37.78,49.0,893.0,177.0,468.0,181.0,38750.0,140600.0,False,False,False,True,False
290,-122.16,37.77,47.0,1256.0,256.2352851333365,570.0,218.0,43750.0,161900.0,False,False,False,True,False
291,-122.16,37.77,48.0,977.0,194.0,446.0,180.0,47708.00000000001,156300.0,False,False,False,True,False
292,-122.16,37.77,45.0,2324.0,397.0,968.0,384.0,35739.0,176000.0,False,False,False,True,False
293,-122.16,37.77,39.0,1583.0,349.0,857.0,316.0,30958.0,145800.0,False,False,False,True,False
294,-122.17,37.77,39.0,1612.0,342.0,912.0,322.0,33958.0,141900.0,False,False,False,True,False
295,-122.17,37.77,31.0,2424.0,533.0,1360.0,452.0,18710.0,90700.0,False,False,False,True,False
296,-122.17,37.76,41.0,1594.0,367.0,1074.0,355.0,19356.0,90600.0,False,False,False,True,False
297,-122.17,37.76,47.0,2118.0,413.0,965.0,382.0,21842.0,107900.0,False,False,False,True,False
298,-122.18,37.76,37.0,1575.0,358.0,933.0,320.0,22917.0,107000.0,False,False,False,True,False
299,-122.17,37.76,38.0,1764.0,397.0,987.0,354.0,24333.0,98200.0,False,False,False,True,False
300,-122.18,37.76,50.0,1187.0,261.0,907.0,246.0,19479.0,89500.0,False,False,False,True,False
302,-122.18,37.76,49.0,2308.0,452.0,1299.0,451.0,18407.0,96700.0,False,False,False,True,False
303,-122.18,37.77,27.0,909.0,236.0,396.0,157.0,20785.999999999996,97500.0,False,False,False,True,False
304,-122.18,37.77,42.0,1180.0,257.0,877.0,268.0,28125.0,97300.0,False,False,False,True,False
305,-122.18,37.76,43.0,2018.0,408.0,1111.0,367.0,18913.0,91200.0,False,False,False,True,False
306,-122.19,37.76,49.0,1368.0,282.0,790.0,269.0,17056.0,91400.0,False,False,False,True,False
308,-122.18,37.77,51.0,2107.0,471.0,1173.0,438.0,32552.0,120100.0,False,False,False,True,False
311,-122.2,37.76,47.0,1116.0,259.0,826.0,279.0,17500.0,85700.0,False,False,False,True,False
312,-122.19,37.77,41.0,2036.0,510.0,1412.0,454.0,20469.0,89300.0,False,False,False,True,False
313,-122.19,37.77,45.0,1852.0,393.0,1132.0,349.0,27159.0,101400.0,False,False,False,True,False
314,-122.19,37.76,41.0,921.0,207.0,522.0,159.0,12083.0,72500.0,False,False,False,True,False
315,-122.19,37.76,45.0,995.0,238.0,630.0,237.0,19250.0,74100.0,False,False,False,True,False
316,-122.2,37.75,36.0,606.0,132.0,531.0,133.0,15809.0,70000.0,False,False,False,True,False
317,-122.2,37.76,37.0,2680.0,736.0,1925.0,667.0,14097.0,84600.0,False,False,False,True,False
318,-122.19,37.76,38.0,1493.0,370.0,1144.0,351.0,7683.0,81800.0,False,False,False,True,False
319,-122.19,37.75,19.0,2207.0,565.0,1481.0,520.0,13193.999999999998,81400.0,False,False,False,True,False
320,-122.19,37.75,28.0,856.0,189.0,435.0,162.0,8012.0,81800.0,False,False,False,True,False
321,-122.19,37.76,26.0,1293.0,297.0,984.0,303.0,19479.0,85800.0,False,False,False,True,False
322,-122.19,37.74,36.0,847.0,212.0,567.0,159.0,11765.000000000002,87100.0,False,False,False,True,False
323,-122.18,37.74,42.0,541.0,154.0,380.0,123.0,23456.0,83500.0,False,False,False,True,False
324,-122.19,37.73,44.0,1066.0,253.0,825.0,244.0,21538.0,79700.0,False,False,False,True,False
325,-122.19,37.74,43.0,707.0,147.0,417.0,155.0,25139.0,83400.0,False,False,False,True,False
326,-122.19,37.73,45.0,1528.0,291.0,801.0,287.0,12625.0,84700.0,False,False,False,True,False
327,-122.18,37.73,42.0,909.0,215.0,646.0,198.0,29063.0,80000.0,False,False,False,True,False
328,-122.18,37.73,43.0,1391.0,293.0,855.0,285.0,25192.0,76400.0,False,False,False,True,False
329,-122.18,37.73,44.0,548.0,119.0,435.0,136.0,21111.0,79700.0,False,False,False,True,False
330,-122.18,37.73,42.0,4074.0,874.0,2736.0,780.0,24550.0,82400.0,False,False,False,True,False
331,-122.17,37.74,41.0,1613.0,445.0,1481.0,414.0,24028.0,97700.0,False,False,False,True,False
332,-122.17,37.74,47.0,463.0,134.0,327.0,137.0,21500.0,97200.0,False,False,False,True,False
333,-122.17,37.74,43.0,818.0,193.0,494.0,179.0,24775.999999999996,101600.0,False,False,False,True,False
334,-122.17,37.73,43.0,1473.0,371.0,1231.0,341.0,21587.0,86500.0,False,False,False,True,False
335,-122.18,37.74,35.0,504.0,126.0,323.0,109.0,18438.0,90500.0,False,False,False,True,False
336,-122.17,37.74,46.0,1026.0,226.0,749.0,225.0,30298.0,107600.0,False,False,False,True,False
337,-122.17,37.74,46.0,769.0,183.0,693.0,178.0,22500.0,84200.0,False,False,False,True,False
338,-122.18,37.74,46.0,2103.0,391.0,1339.0,354.0,22467.0,88900.0,False,False,False,True,False
339,-122.18,37.75,45.0,330.0,76.0,282.0,80.0,40469.0,80700.0,False,False,False,True,False
340,-122.18,37.75,46.0,941.0,218.0,621.0,195.0,13250.0,87100.0,False,False,False,True,False
341,-122.17,37.75,38.0,992.0,202.37691309894095,732.0,259.0,16196.0,85100.0,False,False,False,True,False
342,-122.18,37.75,45.0,990.0,261.0,901.0,260.0,21730.999999999996,82000.0,False,False,False,True,False
343,-122.19,37.75,36.0,1126.0,263.0,482.0,150.0,19167.0,82800.0,False,False,False,True,False
344,-122.18,37.75,43.0,1036.0,233.0,652.0,213.0,20690.0,84600.0,False,False,False,True,False
345,-122.18,37.75,36.0,1047.0,214.0,651.0,166.0,17120.0,82100.0,False,False,False,True,False
346,-122.17,37.76,33.0,1280.0,307.0,999.0,286.0,25625.0,89300.0,False,False,False,True,False
347,-122.17,37.75,43.0,1587.0,320.0,907.0,306.0,19821.0,98300.0,False,False,False,True,False
348,-122.17,37.75,41.0,1257.0,271.0,828.0,230.0,25043.000000000004,92300.0,False,False,False,True,False
349,-122.17,37.75,44.0,1218.0,248.0,763.0,254.0,23281.0,88800.0,False,False,False,True,False
350,-122.17,37.75,48.0,1751.0,390.0,935.0,349.0,14375.0,90000.0,False,False,False,True,False
351,-122.16,37.76,45.0,2299.0,514.0,1437.0,484.0,25122.0,95500.0,False,False,False,True,False
352,-122.16,37.75,38.0,2457.0,624.0,1516.0,482.0,15625.0,91700.0,False,False,False,True,False
353,-122.17,37.75,47.0,998.0,211.0,597.0,185.0,31587.0,100400.0,False,False,False,True,False
354,-122.17,37.76,40.0,1685.0,343.0,949.0,342.0,18426.0,94800.0,False,False,False,True,False
355,-122.16,37.76,46.0,1827.0,307.0,881.0,302.0,46696.0,164300.0,False,False,False,True,False
356,-122.16,37.76,36.0,2781.0,574.0,1438.0,519.0,24598.0,155500.0,False,False,False,True,False
357,-122.15,37.76,39.0,1823.0,286.0,763.0,270.0,60749.00000000001,196900.0,False,False,False,True,False
358,-122.14,37.77,27.0,2229.0,365.0,1297.0,355.0,48304.0,279100.0,False,False,False,True,False
359,-122.14,37.76,34.0,1513.0,231.0,545.0,211.0,55701.0,252800.0,False,False,False,True,False
360,-122.13,37.76,26.0,3266.0,491.0,1222.0,533.0,53700.0,275400.0,False,False,False,True,False
361,-122.12,37.75,33.0,1809.0,261.0,808.0,219.0,68600.0,250000.0,False,False,False,True,False
362,-122.12,37.75,28.0,794.0,111.0,329.0,109.0,76923.0,329800.0,False,False,False,True,False
363,-122.14,37.75,36.0,690.0,105.0,299.0,109.0,40313.0,195500.0,False,False,False,True,False
364,-122.14,37.75,33.0,1334.0,200.0,579.0,202.0,68323.0,255900.0,False,False,False,True,False
365,-122.13,37.75,30.0,414.0,54.0,137.0,50.0,49750.0,311100.0,False,False,False,True,False
366,-122.13,37.75,36.0,768.0,93.0,229.0,93.0,53602.0,330000.0,False,False,False,True,False
367,-122.13,37.74,41.0,4400.0,666.0,1476.0,648.0,50000.0,248900.0,False,False,False,True,False
368,-122.16,37.75,46.0,954.0,161.0,429.0,154.0,29250.0,142900.0,False,False,False,True,False
369,-122.15,37.75,40.0,1445.0,256.0,849.0,255.0,38913.0,126300.0,False,False,False,True,False
370,-122.15,37.75,44.0,1938.0,399.0,946.0,331.0,32250.0,135800.0,False,False,False,True,False
371,-122.15,37.74,41.0,856.0,178.0,571.0,191.0,31458.0,130600.0,False,False,False,True,False
372,-122.16,37.75,24.0,1790.0,454.0,1137.0,386.0,25370.0,107900.0,False,False,False,True,False
373,-122.16,37.75,44.0,617.0,131.0,378.0,135.0,25568.0,111100.0,False,False,False,True,False
374,-122.15,37.74,43.0,1383.0,275.0,853.0,272.0,35083.0,122000.0,False,False,False,True,False
375,-122.15,37.74,49.0,1325.0,277.0,764.0,282.0,33125.0,118000.0,False,False,False,True,False
376,-122.16,37.75,40.0,1227.0,294.0,928.0,261.0,18235.0,95200.0,False,False,False,True,False
377,-122.16,37.75,35.0,667.0,140.0,406.0,133.0,38047.0,94300.0,False,False,False,True,False
378,-122.17,37.74,34.0,1223.0,281.0,824.0,280.0,22917.0,92500.0,False,False,False,True,False
