,Customer ID,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Regular Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,City,Zip Code,Latitude,Longitude,Population,Churn Value,CLTV,Churn Category,Churn Reason,Total Customer Svc Requests,Product/Service Issues Reported,Customer Satisfaction
34,5192-EBGOV,No,0,1,,Yes,45.81,Yes,Yes,Cable,23,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,89.128,85.7,0.0,0.0,45.81,Female,68,No,Yes,No,No,0,Brea,92823,33.924143,-117.79387,1408,1,4880,Competitor,Competitor had better devices,5,1,1.0
35,3419-SNJJD,Yes,3,65,Offer B,Yes,18.39,Yes,Yes,Cable,31,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,109.46,6786.4,0.0,0.0,1195.35,Female,78,No,Yes,Yes,No,0,Yorba Linda,92887,33.884073,-117.732197,20893,1,4196,Attitude,Attitude of support person,5,0,
36,4554-YGZIH,Yes,3,49,Offer B,Yes,22.92,Yes,Yes,Cable,15,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,93.652,4547.25,0.0,0.0,1123.0800000000002,Male,75,No,Yes,Yes,No,0,Summerland,93067,34.420998,-119.60137,576,1,5059,Competitor,Competitor made better offer,5,0,2.0
37,5099-BAILX,Yes,1,43,Offer B,Yes,14.52,Yes,Yes,DSL,6,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,115.18,4687.9,0.0,0.0,624.36,Male,77,No,Yes,Yes,No,0,Santa Barbara,93101,34.419203,-119.710008,31727,1,2728,Competitor,Competitor made better offer,1,1,2.0
38,4913-EHYUI,No,0,56,Offer B,Yes,48.8,Yes,Yes,DSL,13,Yes,No,Yes,No,Yes,Yes,No,No,One Year,Yes,Bank Withdrawal,108.732,5794.65,0.0,753.0,2732.8,Male,80,No,Yes,Yes,No,0,Alpaugh,93201,35.869626,-119.498771,1054,1,6268,Competitor,Competitor offered higher download speeds,0,0,
39,1626-ERCMM,Yes,7,20,,Yes,5.31,Yes,Yes,Cable,11,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,98.332,1899.65,0.0,209.0,106.2,Male,75,No,Yes,Yes,No,0,Camp Nelson,93208,36.057458,-118.591951,191,1,5604,Competitor,Competitor had better devices,2,3,
40,5644-PDMZC,No,0,2,,Yes,47.47,Yes,Yes,DSL,21,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,93.08,161.5,0.0,34.0,94.94,Female,69,No,Yes,No,No,0,Delano,93215,35.772244,-119.209689,37280,1,2065,Attitude,Attitude of support person,5,0,
41,4160-AMJTL,No,0,8,,Yes,27.95,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,164.3,0.0,0.0,223.6,Female,74,No,Yes,No,No,0,Fellows,93224,35.215731,-119.57013,626,1,5432,Attitude,Attitude of support person,6,0,
42,0823-HSCDJ,No,0,52,,No,0.0,No,Yes,Cable,20,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,51.116,2550.9,0.0,0.0,0.0,Male,76,No,Yes,No,No,0,Temecula,92592,33.507255,-117.029473,46171,1,5597,Competitor,Competitor made better offer,1,1,2.0
43,0067-DKWBL,No,0,2,,Yes,43.99,No,Yes,Fiber Optic,30,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,51.22,91.1,0.0,27.0,87.98,Male,69,No,Yes,No,No,0,San Diego,92129,32.961064,-117.134917,47224,1,3475,Competitor,Competitor made better offer,5,0,2.0
44,5244-IRFIH,Yes,1,33,,Yes,27.78,Yes,Yes,Fiber Optic,9,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.28,3105.55,0.0,279.0,916.74,Male,72,No,Yes,Yes,No,0,San Diego,92129,32.961064,-117.134917,47224,1,4333,Other,Poor expertise of online support,2,2,
45,2684-EIWEO,No,0,30,,Yes,45.88,Yes,Yes,Cable,21,Yes,Yes,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,95.368,2758.15,0.0,579.0,1376.4,Female,69,No,Yes,No,No,0,San Diego,92129,32.961064,-117.134917,47224,1,2482,Competitor,Competitor made better offer,4,1,
46,6683-VLCTZ,No,0,20,,Yes,44.44,Yes,Yes,Cable,14,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,102.492,1842.8,0.0,258.0,888.8,Male,73,No,Yes,No,No,0,San Diego,92129,32.961064,-117.134917,47224,1,5444,Competitor,Competitor made better offer,5,0,
47,0691-IFBQW,No,0,46,,Yes,2.37,Yes,Yes,DSL,22,Yes,Yes,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,114.4,4874.8,0.0,1072.0,109.02,Female,65,No,Yes,No,No,0,Biola,93606,36.798882,-120.019511,807,1,2403,Competitor,Competitor made better offer,4,0,
48,3643-AHCFP,Yes,1,7,,Yes,21.91,Yes,Yes,Cable,12,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.424,644.35,0.0,77.0,153.37,Male,74,No,Yes,Yes,No,0,Selma,93662,36.545322,-119.642281,26213,1,3265,Competitor,Competitor made better offer,1,0,
49,9231-ZJYAM,No,0,4,,Yes,36.93,No,Yes,Cable,20,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,82.00399999999999,292.8,0.0,59.0,147.72,Female,65,No,Yes,No,No,0,Squaw Valley,93675,36.719141,-119.202677,3146,1,5301,Other,Moved,3,2,
50,0727-BMPLR,No,0,55,,Yes,37.38,Yes,Yes,Cable,8,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,104.0,5509.3,0.0,441.0,2055.9,Female,66,No,Yes,No,No,0,Fresno,93706,36.654614,-119.903674,35790,1,5679,Competitor,Competitor offered higher download speeds,6,0,
51,0947-MUGVO,Yes,1,20,,Yes,5.37,No,Yes,Cable,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.596,1463.5,0.0,0.0,107.4,Male,71,No,Yes,Yes,No,0,Jolon,93928,35.930782,-121.189757,254,1,5849,Competitor,Competitor had better devices,0,0,
52,0781-LKXBR,No,0,9,,Yes,48.71,Yes,Yes,Cable,16,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,104.52,918.6,0.0,147.0,438.39,Male,65,No,Yes,No,No,0,San Francisco,94102,37.7795,-122.419233,28998,1,4038,Competitor,Competitor had better devices,4,1,1.0
53,1907-UBQFC,No,0,10,,Yes,5.46,No,Yes,DSL,26,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.764,688.65,0.0,179.0,54.6,Male,69,No,Yes,No,No,0,San Francisco,94108,37.791998,-122.408653,13723,1,3189,Competitor,Competitor had better devices,5,4,
54,6513-EECDB,No,0,1,,Yes,36.92,Yes,Yes,Cable,7,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.492,73.55,0.0,0.0,36.92,Male,75,No,Yes,Yes,No,0,San Francisco,94114,37.758085,-122.434801,30587,1,4369,Price,Price too high,2,0,2.0
55,7074-IEVOJ,No,0,3,,Yes,41.9,Yes,Yes,Cable,12,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,82.57600000000001,205.05,0.0,25.0,125.7,Female,75,No,Yes,No,No,0,San Francisco,94130,37.820894,-122.369725,1458,1,3501,Dissatisfaction,Product dissatisfaction,5,1,
56,4750-ZRXIU,No,0,4,,Yes,6.68,Yes,Yes,DSL,19,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,87.984,360.1,0.0,6.84,26.72,Female,68,No,Yes,No,No,0,Palo Alto,94304,37.386978,-122.177746,1723,1,2467,Competitor,Competitor had better devices,6,1,1.0
57,7028-DVOIQ,No,0,35,,Yes,20.83,Yes,Yes,Cable,21,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,103.012,3395.8,0.0,0.0,729.05,Male,71,No,Yes,No,No,0,Birds Landing,94512,38.140719,-121.838298,138,1,2074,Other,Don't know,5,1,1.0
58,4208-UFFGW,No,0,2,Offer E,Yes,26.62,No,Yes,Fiber Optic,12,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,46.748000000000005,85.15,0.0,10.0,53.24,Male,80,No,Yes,No,No,0,Byron,94514,37.83323,-121.601461,10153,1,5900,Other,Don't know,5,2,2.0
59,9889-TMAHG,No,0,8,,Yes,11.57,No,Yes,DSL,30,Yes,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,No,Credit Card,104.312,832.35,0.0,250.0,92.56,Male,66,No,Yes,No,No,0,Fremont,94539,37.516791,-121.899117,46917,1,5084,Competitor,Competitor had better devices,2,5,1.0
60,8919-FYFQZ,Yes,2,44,,No,0.0,No,Yes,Cable,31,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,31.564000000000004,1359.7,0.0,422.0,0.0,Male,73,No,Yes,Yes,No,0,Livermore,94550,37.571748,-121.659562,75929,1,4829,Competitor,Competitor had better devices,4,4,1.0
61,6646-QVXLR,Yes,1,62,,Yes,7.11,Yes,Yes,Fiber Optic,18,No,Yes,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,107.9,6383.35,0.0,1149.0,440.82,Male,77,No,Yes,Yes,No,0,Napa,94558,38.489789,-122.27011,63947,1,5052,Competitor,Competitor had better devices,1,2,
62,9369-XFEHK,Yes,1,33,,Yes,33.19,Yes,Yes,DSL,16,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.824,2656.5,0.0,0.0,1095.27,Female,76,No,Yes,Yes,No,0,Pleasanton,94566,37.633361,-121.862395,36669,1,3601,Competitor,Competitor offered more data,2,0,2.0
63,1374-DMZUI,No,0,4,Offer E,Yes,49.5,Yes,Yes,Cable,25,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,98.072,424.45,0.0,106.0,198.0,Female,65,No,Yes,No,No,0,San Ramon,94583,37.766556,-121.976784,44078,1,5419,Competitor,Competitor made better offer,0,0,
64,1989-PRJHP,Yes,1,27,,Yes,10.6,Yes,Yes,Cable,25,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.52,1893.95,0.0,473.0,286.2,Male,75,No,Yes,Yes,No,0,Pleasanton,94588,37.685052,-121.912061,28568,1,2377,Competitor,Competitor had better devices,1,3,1.0
65,4822-RVYBB,No,0,8,Offer E,Yes,40.45,Yes,Yes,Cable,32,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.624,819.4,0.0,0.0,323.6,Male,75,No,Yes,No,No,0,Berkeley,94704,37.871416,-122.246597,21205,1,5906,Attitude,Attitude of support person,4,0,1.0
66,4184-TJFAN,Yes,1,3,Offer E,Yes,25.77,No,Yes,DSL,2,Yes,No,No,Yes,Yes,No,No,No,Month-to-Month,Yes,Mailed Check,91.832,273.75,0.0,5.0,77.31,Female,68,No,Yes,Yes,No,0,Berkeley,94707,37.897753,-122.279391,11889,1,4486,Attitude,Attitude of support person,2,0,1.0
67,4145-UQXUQ,No,0,8,Offer E,Yes,42.93,No,Yes,Cable,10,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.784,729.95,0.0,0.0,343.44,Female,71,No,Yes,No,No,0,Berkeley,94710,37.872902,-122.303708,8157,1,5662,Competitor,Competitor had better devices,0,0,
68,1236-WFCDV,No,0,14,,Yes,11.31,No,Yes,DSL,26,No,No,No,No,Yes,Yes,No,No,Month-to-Month,No,Credit Card,94.068,1266.1,0.0,329.0,158.34,Male,74,No,Yes,No,No,0,Greenbrae,94904,37.946617,-122.563571,12010,1,4777,Competitor,Competitor offered more data,0,0,
69,1271-SJBGZ,No,0,12,,No,0.0,No,Yes,Cable,11,No,No,Yes,Yes,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,45.396,526.95,0.0,58.0,0.0,Male,77,No,Yes,No,No,0,Forest Knolls,94933,38.010092,-122.689442,1025,1,2437,Competitor,Competitor had better devices,2,4,
70,4441-NIHPT,No,0,13,,Yes,40.37,No,Yes,DSL,23,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,77.272,940.35,0.0,216.0,524.81,Female,73,No,Yes,No,No,0,Freedom,95019,36.936228,-121.785559,4753,1,2995,Competitor,Competitor had better devices,1,2,
71,8999-BOHSE,No,0,11,,Yes,3.96,No,Yes,Cable,30,No,No,No,No,Yes,Yes,No,No,Month-to-Month,No,Bank Withdrawal,93.288,1047.7,0.0,314.0,43.56,Female,68,No,Yes,No,No,0,Gilroy,95020,37.03889,-121.528955,49968,1,2202,Attitude,Attitude of support person,4,0,
72,7029-RPUAV,Yes,1,17,,Yes,28.18,Yes,Yes,Cable,18,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,104.468,1622.45,0.0,0.0,479.06,Male,74,No,Yes,Yes,No,0,Los Gatos,95030,37.222842,-121.988727,13290,1,5508,Competitor,Competitor offered more data,0,0,
73,8111-SLLHI,Yes,1,39,,Yes,33.25,Yes,Yes,DSL,29,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,109.876,4284.8,0.0,1243.0,1296.75,Male,65,No,Yes,Yes,No,0,San Jose,95128,37.316146,-121.936285,32804,1,4687,Attitude,Attitude of support person,4,0,
74,5293-WXJAK,Yes,5,11,,Yes,17.25,Yes,Yes,Cable,30,No,No,Yes,Yes,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,108.212,1133.65,0.0,340.0,189.75,Female,73,No,Yes,Yes,No,0,San Jose,95135,37.28682,-121.723877,15798,1,4553,Competitor,Competitor offered more data,1,0,
75,4086-YQSNZ,Yes,1,3,Offer E,Yes,3.29,No,Yes,Cable,10,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.61600000000001,224.05,0.0,0.0,9.87,Female,74,No,Yes,Yes,No,0,Glencoe,95232,38.358464,-120.579304,21,1,3834,Attitude,Attitude of service provider,0,0,
76,8399-YNDCH,No,0,21,,Yes,34.62,No,Yes,Cable,15,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,62.452,1236.15,0.0,185.0,727.02,Male,80,No,Yes,No,No,0,Columbia,95310,38.085839,-120.37855,2144,1,4716,Competitor,Competitor had better devices,1,1,1.0
77,5565-FILXA,No,0,16,,Yes,38.75,Yes,Yes,DSL,18,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.996,1529.2,0.0,275.0,620.0,Female,76,No,Yes,No,No,0,Escondido,92027,33.141265,-116.967221,48690,1,5913,Other,Don't know,5,0,2.0
